simpheny compartment id,compartment,abbreviation,example met,example reaction
7777,mitochondria,m,,
1,cytosol,c,,
1395100,periplasm,p,,
3,extracellular,e,,
7785,nucleus,n,,
7781,apicoplast,?,,
242858,?,?,Toll-like receptor 9,TLR9-SIGIRR binding
1395419,?,?,Trichloroethylene,G_TCE1
7783,edoplasmic reticular,r,,
7779,peroxisome,x,,
1395059,golgi,g,,
